country,cabr,year,cut,subcut,indicator,value,se,N,method
Viet Nam2023,VNM,2023.0,,,fieldwork date,.,,,
Viet Nam2023,VNM,2023.0,All,All,_sample,1,0.0,1028.0,Global
Viet Nam2023,VNM,2023.0,All,All,bus1,10.74146366,1.269834,48.0,Global
Viet Nam2023,VNM,2023.0,All,All,bus2,13.15211105,0.6001932,34.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_bus3_median,15,5.0803165,63.0,Global
Viet Nam2023,VNM,2023.0,All,All,bus5,1.807107449,0.52085406,973.0,Global
Viet Nam2023,VNM,2023.0,All,All,car1,12.83170509,0.324865,1023.0,Global
Viet Nam2023,VNM,2023.0,All,All,car2,95.36319733,0.9771818,1021.0,Global
Viet Nam2023,VNM,2023.0,All,All,car7,4.611069679,0.9903048,1021.0,Global
Viet Nam2023,VNM,2023.0,All,All,car8,.3862945735,0.21120116,1021.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp1,71.91410828,2.6406307,429.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp2,4.226294518,1.2035868,771.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp3,3.818462133,1.3580419,771.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp4,91.95523834,1.8086566,771.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp5,90.21318817,1.8727102,823.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp6,2.82757163,1.0487545,955.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp7,75.39931488,1.9714608,964.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp8,81.97341156,2.1189146,923.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp9,68.84229279,5.3125997,149.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr1,29.52403641,6.073245,293.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr10,26.01735687,0.34816235,33.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr11,7.425957203,1.378968,923.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr2,.,,,Global
Viet Nam2023,VNM,2023.0,All,All,corr4,25.50784874,2.6576178,900.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr6,17.7385807,2.4582016,76.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr7,17.95372772,0.96168417,49.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr8,31.37973404,17.515314,81.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr9,32.34970093,6.6073627,50.0,Global
Viet Nam2023,VNM,2023.0,All,All,crime9,1.007447481,0.4689292,869.0,Global
Viet Nam2023,VNM,2023.0,All,All,disp1,5.221431255,1.3627044,1018.0,Global
Viet Nam2023,VNM,2023.0,All,All,disp2,33.04812622,27.841343,39.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_disp3,86.68262482,2.3693006,793.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_disp4,84.64565277,2.7036467,762.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_disp5,86.20506287,2.3627882,766.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_disp6,94.57233429,0.84105146,869.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin1,68.38357544,3.909683,402.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin11,93.49254608,1.4287773,439.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin12,29.1688633,4.8468704,408.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin13,38.73629379,2.779778,986.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin14,40.52482605,2.8882813,990.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin16,9.038990974,1.6749014,987.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin20,46.72848129,3.071736,979.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin21,1.934900761,0.50752276,392.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin23,8.249725342,1.6280878,951.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin24,17.97857094,2.2605262,951.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_fin26,17.25612831,2.945009,567.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_fin27,13.42171001,1.6800915,290.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_fin28,65.91670227,2.077045,963.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_fin29,1.416990757,0.20346461,739.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_fin30,.508205533,0.070599355,592.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_fin31,63.11861038,2.2689223,841.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_fin32,.4844982028,0.080878384,513.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_fin33,81.11412811,1.4999086,987.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin7,14.45812416,1.3766562,974.0,Global
Viet Nam2023,VNM,2023.0,All,All,gend1,24.81352806,2.5754328,1023.0,Global
Viet Nam2023,VNM,2023.0,All,All,gend2,41.39673233,1.6576667,1011.0,Global
Viet Nam2023,VNM,2023.0,All,All,gend3,63.05411148,2.5960648,540.0,Global
Viet Nam2023,VNM,2023.0,All,All,gend4,19.39894485,2.2154286,1027.0,Global
Viet Nam2023,VNM,2023.0,All,All,gend5,44.49508286,3.245456,543.0,Global
Viet Nam2023,VNM,2023.0,All,All,gend6,19.65748215,2.3481364,1021.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_gend7,31.05365181,9.228713,144.0,Global
Viet Nam2023,VNM,2023.0,All,All,gend8,57.61538315,7.3996964,117.0,Global
Viet Nam2023,VNM,2023.0,All,All,gend9,33.44142532,8.233907,44.0,Global
Viet Nam2023,VNM,2023.0,All,All,graft2,27.44361305,5.3879523,400.0,Global
Viet Nam2023,VNM,2023.0,All,All,graft3,31.07424545,5.692423,400.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_in1_median,5,1.9202669,71.0,Global
Viet Nam2023,VNM,2023.0,All,All,in11,8.359406471,1.7077721,1024.0,Global
Viet Nam2023,VNM,2023.0,All,All,in12,19.44068909,2.2145803,1022.0,Global
