country,cabr,year,cut,subcut,indicator,Topic,EnglishName,value,se,N,method
Viet Nam2023,VNM,2023.0,All,All,bus1,Regulations,Days to obtain an import license,10.74146366,1.269834,48.0,Global
Viet Nam2023,VNM,2023.0,All,All,bus2,Regulations,Days to obtain an operating license,13.15211105,0.6001932,34.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_bus3_median,Regulations,[B-READY] Days to obtain a construction-related permit [median],15,5.0803165,63.0,Global
Viet Nam2023,VNM,2023.0,All,All,bus5,Regulations,Percent of firms identifying business licensing and permits as a major or very severe constraint,1.807107449,0.52085406,973.0,Global
Viet Nam2023,VNM,2023.0,All,All,car1,Firm Profile,Age of the establishment (years),12.83170509,0.324865,1023.0,Global
Viet Nam2023,VNM,2023.0,All,All,car2,Firm Profile,Proportion of private domestic ownership in a firm (%),95.36319733,0.9771818,1021.0,Global
Viet Nam2023,VNM,2023.0,All,All,car7,Firm Profile,Percent of firms with at least 10% of foreign ownership,4.611069679,0.9903048,1021.0,Global
Viet Nam2023,VNM,2023.0,All,All,car8,Firm Profile,Percent of firms with at least 10% of government/state ownership,.3862945735,0.21120116,1021.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp1,Competition and Public Procurement,[B-READY] Index of market share of the largest competitor (excluding firms whose main market is international),71.91410828,2.6406307,429.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp2,Competition and Public Procurement,[B-READY] Percent of firms reporting less than two competitors in their main product's main market (excluding firms whose main market is international),4.226294518,1.2035868,771.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp3,Competition and Public Procurement,[B-READY] Percent of firms reporting between two and five (inclusive) competitors in their main product's main market (excluding firms whose main market is international),3.818462133,1.3580419,771.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp4,Competition and Public Procurement,[B-READY] Percent of firms reporting more than five competitors in their main product's main market (excluding firms whose main market is international),91.95523834,1.8086566,771.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp5,Competition and Public Procurement,[B-READY] Percent of firms that cannot increase prices more than competitors without losing customers,90.21318817,1.8727102,823.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp6,Competition and Public Procurement,[B-READY] Percent of firms reporting their prices to be regulated,2.82757163,1.0487545,955.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp7,Competition and Public Procurement,[B-READY] Index of change of level of competition over last year,75.39931488,1.9714608,964.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp8,Competition and Public Procurement,[B-READY] Index of difficulty to switch internet providers,81.97341156,2.1189146,923.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_comp9,Competition and Public Procurement,[B-READY] Perceptions of the degree of difficulty to comply with government contract tender requirements,68.84229279,5.3125997,149.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr1,Corruption,Percent of firms expected to give gifts in meetings with tax officials,29.52403641,6.073245,293.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr10,Corruption,Percent of firms expected to give gifts to get an operating license,26.01735687,0.34816235,33.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr11,Corruption,Percent of firms identifying corruption as a major or very severe constraint,7.425957203,1.378968,923.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr2,Corruption,Percent of firms expected to give gifts to secure government contract,.,,,Global
Viet Nam2023,VNM,2023.0,All,All,corr4,Corruption,"Percent of firms expected to give gifts to public officials ""to get things done"" ",25.50784874,2.6576178,900.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr6,Corruption,Percent of firms expected to give gifts to get an electrical connection,17.7385807,2.4582016,76.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr7,Corruption,Percent of firms expected to give gifts to get a water connection,17.95372772,0.96168417,49.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr8,Corruption,Percent of firms expected to give gifts to get a construction permit,31.37973404,17.515314,81.0,Global
Viet Nam2023,VNM,2023.0,All,All,corr9,Corruption,Percent of firms expected to give gifts to get an import license ,32.34970093,6.6073627,50.0,Global
Viet Nam2023,VNM,2023.0,All,All,crime9,Dispute Resolution,Percent of firms identifying the courts as a major or very severe constraint                         ,1.007447481,0.4689292,869.0,Global
Viet Nam2023,VNM,2023.0,All,All,disp1,Dispute Resolution,Percent of firms that had any commercial dispute,5.221431255,1.3627044,1018.0,Global
Viet Nam2023,VNM,2023.0,All,All,disp2,Dispute Resolution,"Percent of firms that use courts, arbitration, mediation, or conciliation to resolve or attempt to resolve its commercial disputes",33.04812622,27.841343,39.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_disp3,Dispute Resolution,[B-READY] Perceptions of courts being independent and impartial in resolving commercial disputes,86.68262482,2.3693006,793.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_disp4,Dispute Resolution,[B-READY] Perceptions of arbitration being a reliable alternative to courts for resolving commercial disputes,84.64565277,2.7036467,762.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_disp5,Dispute Resolution,[B-READY] Perceptions of mediation being a reliable alternative to courts for resolving commercial disputes,86.20506287,2.3627882,766.0,Global
Viet Nam2023,VNM,2023.0,All,All,bready_disp6,Dispute Resolution,[B-READY] Perceptions index of courts as a constraint,94.57233429,0.84105146,869.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin1,Finance,Proportion of investment financed internally (%),68.38357544,3.909683,402.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin11,Finance,Proportion of loans requiring collateral (%),93.49254608,1.4287773,439.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin12,Finance,Percent of firms using banks to finance investments,29.1688633,4.8468704,408.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin13,Finance,Percent of firms using banks to finance working capital,38.73629379,2.779778,986.0,Global
Viet Nam2023,VNM,2023.0,All,All,fin14,Finance,Percent of firms with a bank loan/line of credit,40.52482605,2.8882813,990.0,Global
