country,cabr,year,cut,subcut,indicator,value,se,N,method,fielddate,sector_MS
Viet Nam2009,VNM,2009.0,,,fieldwork date,.,,,,6/2009 - 1/2010,
Viet Nam2009,VNM,2009.0,All,All,_sample,1,0.0,1053.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,bus1,22.61590576,0.97112846,131.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,bus2,15.89781761,1.9948964,234.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_bus3_median,30,34.875725,227.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,bus5,1.592106342,1.0046425,1025.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,car1,10.27004337,0.65435284,1046.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,car2,89.85920715,2.5610757,1050.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,car7,8.972064018,2.789611,1050.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,car8,6.256596565,1.2069389,1051.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_comp1,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_comp2,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_comp3,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_comp4,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_comp5,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_comp6,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_comp7,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_comp8,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_comp9,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,corr1,33.68036652,5.64433,633.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,corr10,15.15547943,4.791122,248.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,corr11,5.091258526,1.3029152,982.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,corr2,53.70785141,7.2886705,171.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,corr4,52.53854752,4.8180103,987.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,corr6,18.76810837,3.620351,209.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,corr7,3.742910862,2.670174,102.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,corr8,47.87295914,7.247726,289.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,corr9,18.24439812,2.1003752,135.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,crime9,.7214218378,0.3536062,905.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,disp1,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,disp2,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_disp3,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_disp4,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_disp5,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_disp6,98.3747406,0.41955104,905.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,fin1,74.70399475,4.774903,712.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,fin11,90.80280304,3.050954,666.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,fin12,21.4755497,4.9981775,712.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,fin13,46.99956894,4.3105607,1037.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,fin14,49.92775726,4.5595083,1050.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,fin16,15.00378323,3.8101149,1024.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,fin20,25.08561897,3.717943,1048.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,fin21,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,fin23,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,fin24,.,,,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_fin26,29.59384155,7.4617066,410.0,Global,,
Viet Nam2009,VNM,2009.0,All,All,bready_fin27,.,,,Global,,
